,위도,경도
0,37.50594176,127.0155601
1,37.50594176,127.0155601
2,37.50074561,127.0125601
3,37.49554946,127.0155601
4,37.49554946,127.0155601
5,37.49554946,127.0515601
6,37.49035331,127.0545601
7,37.48515715,127.0335601
8,37.48515715,127.0395601
9,37.49035331,127.0365601
10,37.51633407,127.0395601
11,37.50074561,127.0545601
12,37.51113792,127.0485601
13,37.49035331,127.0245601
14,37.51113792,127.0545601
15,37.51113792,127.0545601
16,37.51633407,127.0515601
17,37.51113792,127.0485601
18,37.50074561,127.0365601
19,37.50594176,127.0395601
20,37.49554946,127.0395601
21,37.50594176,127.0335601
22,37.49554946,127.0335601
23,37.50594176,127.0335601
24,37.49554946,127.0335601
25,37.52153022,127.0245601
26,37.50074561,127.0425601
27,37.52153022,127.0245601
28,37.52672637,127.0215601
29,37.52153022,127.0185601
30,37.52153022,127.0185601
31,37.51113792,127.0365601
32,37.51113792,127.0425601
33,37.51633407,127.0455601
34,37.51633407,127.0275601
35,37.51113792,127.0305601
36,37.52153022,127.0305601
37,37.51113792,127.0425601
38,37.51633407,127.0455601
39,37.51113792,127.0305601
40,37.51633407,127.0335601
41,37.49554946,127.0275601
42,37.52672637,127.0395601
43,37.52672637,127.0335601
44,37.51113792,127.0245601
45,37.49035331,127.0545601
46,37.49035331,127.0485601
47,37.49035331,127.0545601
48,37.48515715,127.0515601
49,37.49035331,127.0485601
50,37.51633407,127.0215601
51,37.51113792,127.0185601
52,37.51113792,127.0245601
53,37.51113792,127.0185601
54,37.49035331,127.0185601
55,37.479961,127.0545601
56,37.479961,127.0425601
57,37.51113792,127.0605601
58,37.51113792,127.0605601
59,37.51633407,127.0575601
60,37.51633407,127.0575601
61,37.49035331,127.0365601
62,37.49035331,127.0305601
63,37.49035331,127.0425601
64,37.49035331,127.0365601
65,37.48515715,127.0335601
66,37.48515715,127.0395601
67,37.49035331,127.0425601
68,37.48515715,127.0455601
69,37.51633407,127.0155601
70,37.51633407,127.0155601
71,37.51113792,127.0125601
72,37.51113792,127.0485601
73,37.49554946,127.0455601
74,37.49554946,127.0395601
75,37.50594176,127.0395601
76,37.49554946,127.0455601
77,37.50074561,127.0305601
78,37.50074561,127.0425601
79,37.49554946,127.0395601
80,37.50594176,127.0455601
81,37.50074561,127.0365601
82,37.49554946,127.0335601
83,37.50594176,127.0335601
84,37.50594176,127.0275601
85,37.50074561,127.0485601
86,37.49035331,127.0245601
87,37.50074561,127.0365601
88,37.50074561,127.0545601
89,37.50074561,127.0545601
90,37.50594176,127.0515601
91,37.50074561,127.0485601
92,37.49554946,127.0515601
93,37.50594176,127.0515601
94,37.50074561,127.0485601
95,37.51633407,127.0395601
96,37.49554946,127.0515601
97,37.51113792,127.0365601
98,37.51633407,127.0335601
99,37.49554946,127.0635601
100,37.51633407,127.0335601
101,37.479961,127.0245601
102,37.479961,127.0305601
103,37.479961,127.0365601
104,37.479961,127.0425601
105,37.52153022,127.0365601
106,37.52153022,127.0425601
107,37.52153022,127.0305601
108,37.52672637,127.0455601
109,37.52672637,127.0275601
110,37.52153022,127.0365601
111,37.50074561,127.0665601
112,37.48515715,127.0395601
113,37.49035331,127.0365601
114,37.48515715,127.0335601
115,37.50594176,127.0455601
116,37.48515715,127.0335601
117,37.50074561,127.0245601
118,37.50594176,127.0215601
119,37.50074561,127.0185601
120,37.49554946,127.0215601
121,37.50074561,127.0185601
122,37.50074561,127.0245601
123,37.50594176,127.0215601
124,37.49554946,127.0215601
125,37.479961,127.0485601
126,37.51113792,127.0545601
127,37.49554946,127.0455601
128,37.49035331,127.0185601
129,37.48515715,127.0515601
130,37.51633407,127.0215601
131,37.49554946,127.0395601
132,37.50594176,127.0395601
133,37.50594176,127.0335601
134,37.49554946,127.0335601
135,37.50074561,127.0365601
136,37.50594176,127.0455601
137,37.51113792,127.0365601
138,37.51633407,127.0395601
139,37.51633407,127.0335601
140,37.51113792,127.0425601
141,37.51113792,127.0305601
142,37.51113792,127.0365601
143,37.51633407,127.0455601
144,37.51113792,127.0425601
145,37.49035331,127.0605601
146,37.49035331,127.0605601
147,37.48515715,127.0575601
148,37.48515715,127.0575601
149,37.51633407,127.0275601
150,37.52153022,127.0365601
151,37.52672637,127.0395601
152,37.52672637,127.0335601
153,37.52153022,127.0365601
154,37.49035331,127.0485601
155,37.49035331,127.0365601
156,37.49035331,127.0425601
157,37.49035331,127.0305601
158,37.48515715,127.0275601
159,37.48515715,127.0455601
160,37.49035331,127.0425601
161,37.49035331,127.0305601
162,37.48515715,127.0335601
163,37.48515715,127.0455601
164,37.52153022,127.0485601
165,37.52153022,127.0545601
166,37.52153022,127.0545601
167,37.52672637,127.0515601
168,37.52153022,127.0485601
169,37.52153022,127.0365601
170,37.479961,127.0365601
171,37.50074561,127.0425601
172,37.50074561,127.0305601
173,37.49554946,127.0335601
174,37.50074561,127.0425601
175,37.50074561,127.0365601
176,37.50594176,127.0455601
177,37.49554946,127.0455601
178,37.50594176,127.0275601
179,37.50594176,127.0335601
180,37.49554946,127.0275601
181,37.50594176,127.0395601
182,37.50594176,127.0515601
183,37.51633407,127.0395601
184,37.51633407,127.0335601
185,37.51113792,127.0365601
186,37.48515715,127.0215601
187,37.50074561,127.0605601
188,37.50594176,127.0575601
189,37.49554946,127.0575601
190,37.50594176,127.0575601
191,37.49554946,127.0575601
192,37.50594176,127.0635601
193,37.49554946,127.0635601
194,37.50074561,127.0605601
195,37.479961,127.0305601
196,37.50594176,127.0635601
197,37.51633407,127.0515601
198,37.52153022,127.0425601
199,37.50074561,127.0305601